duration (seconds),country,latitude,longitude
30,us,34.0522,-118.2437
12,us,40.7128,-74.0060
45,us,41.8781,-87.6298
18,us,29.7604,-95.3698
55,us,47.6062,-122.3321
8,us,39.7392,-104.9903
25,us,33.4484,-112.0740
37,us,32.7157,-117.1611
15,us,36.1699,-115.1398
50,us,25.7617,-80.1918
21,us,38.9072,-77.0369
44,us,42.3601,-71.0589
22,gb,51.5074,-0.1278
35,gb,53.4808,-2.2426
14,gb,55.9533,-3.1883
40,gb,52.4862,-1.8904
10,gb,51.4545,-2.5879
58,gb,53.8008,-1.5491
27,gb,55.8642,-4.2518
19,gb,50.8225,-0.1372
33,gb,52.9548,-1.1581
6,gb,51.7520,-1.2577
46,gb,54.9783,-1.6178
29,gb,53.4084,-2.9916
18,ca,43.6532,-79.3832
31,ca,45.5017,-73.5673
7,ca,49.2827,-123.1207
42,ca,51.0447,-114.0719
26,ca,53.5461,-113.4938
54,ca,45.4215,-75.6972
13,ca,46.8139,-71.2080
39,ca,44.6488,-63.5752
9,ca,52.1579,-106.6702
48,ca,50.4452,-104.6189
23,ca,49.8951,-97.1384
57,ca,48.4284,-123.3656
14,de,52.5200,13.4050
28,de,48.1351,11.5820
41,de,50.1109,8.6821
11,de,53.5511,9.9937
56,de,51.2277,6.7735
20,de,48.7758,9.1829
34,de,51.0504,13.7373
5,de,49.4521,11.0767
47,de,52.3906,13.0645
16,de,50.9375,6.9603
38,de,53.0793,8.8017
24,de,51.3397,12.3731
40,au,-33.8688,151.2093
17,au,-37.8136,144.9631
53,au,-27.4698,153.0251
32,au,-31.9523,115.8613
12,au,-34.9285,138.6007
49,au,-35.2809,149.1300
6,au,-42.8821,147.3272
44,au,-19.2589,146.8169
27,au,-12.4634,130.8456
59,au,-32.9283,151.7817
21,au,-16.9203,145.7710
36,au,-23.6980,133.8807
